Song,Artist,Genre,Year,Album,Duration (seconds),Streams
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,The Heart Wants What It Wants,227,352176249
Hey Mama ,David Guetta,dance pop,2015,Listen,193,548732991
Genie In a Bottle,Christina Aguilera,dance pop,2015,Christina Aguilera ,218,207041638
Company,Justin Bieber,canadian pop,2015,Purpose ,208,385899844
Sing,Ed Sheeran,pop,2015,x ,235,435724123
Jealous,Nick Jonas,dance pop,2015,Nick Jonas X2,222,381662008
Really Don't Care,Demi Lovato,dance pop,2015,Demi,202,197147970
Downtown,Macklemore & Ryan Lewis,dance pop,2015,This Unruly Mess I've Made,293,318444433
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,A Perfect Contradiction,233,132244501
Heartbeat Song,Kelly Clarkson,dance pop,2015,Piece By Piece ,199,191980158
Up,Olly Murs,dance pop,2015,Never Been Better,224,186314380
Trumpets,Jason Derulo,dance pop,2015,Tattoos,217,502565414
Runnin' ,Naughty Boy,tropical house,2015,,213,193047083
Same Old Love,Selena Gomez,dance pop,2015,Revival ,229,450549716
I Want You To Know,Zedd,complextro,2015,True Colors,240,267239177
Lips Are Movin,Meghan Trainor,dance pop,2015,Title ,183,305180294
I'll Show You,Justin Bieber,canadian pop,2015,Purpose ,200,306197839
Here,Alessia Cara,canadian contemporary r&b,2015,Know-It-All,199,3760164
I Lived,OneRepublic,dance pop,2015,Native,235,236552260
Fireball ,Pitbull,dance pop,2015,Fireball ,235,305761989
Easy Love,Sigala,dance pop,2015,Brighter Days,230,287067307
The Feeling,Justin Bieber,canadian pop,2015,Purpose ,245,211786303
I Really Like You,Carly Rae Jepsen,canadian pop,2015,Emotion,205,358397870
BO$$,Fifth Harmony,dance pop,2015,Reflection ,171,159299213
Sugar,Maroon 5,pop,2015,V ,235,1147229954
Focus,Ariana Grande,dance pop,2015,Focus,211,262672212
All About That Bass,Meghan Trainor,dance pop,2015,Title ,189,578005584
On My Mind,Ellie Goulding,dance pop,2015,Delirium ,213,419662750
Love Me Like You,Little Mix,dance pop,2015,Get Werid ,198,123369192
Broken Arrows,Avicii,big room,2015,Stories,233,134854492
Booty,Jennifer Lopez,dance pop,2015,Booty,210,89764749
What Do You Mean? ,Justin Bieber,canadian pop,2015,Purpose ,204,152772703
Mark My Words,Justin Bieber,canadian pop,2015,Purpose ,134,147970890
Lay It All on Me,Rudimental,dance pop,2015,We the Generation,242,364785201
American Oxygen,Rihanna,barbadian pop,2015,American Oxygen,320,129436611
Bang Bang,Jessie J,australian pop,2015,Sweet Talker ,199,899327443
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,Less Is More,159,397257141
Alive,Sia,australian dance,2015,Alive,264,238543055
Sugar ,Robin Schulz,dance pop,2015,Sugar,219,868515935
Been You,Justin Bieber,canadian pop,2015,Purpose ,199,99977329
Prayer in C,Lilly Wood and The Prick,french indie pop,2015,Prayer in C ,189,707474425
See You Again ,Wiz Khalifa,hip hop,2015,See You Again ,230,1188783297
Heroes ,Alesso,big room,2015,Forever,210,509247407
Feel The Light,Jennifer Lopez,dance pop,2015,Feel The Light,292,28092681
Perfect,One Direction,boy band,2015,Made In The A.M. ,230,1700105555
Ghosttown,Madonna,dance pop,2015,Rebel Heart ,250,399228201
Bang My Head ,David Guetta,dance pop,2015,Listen Again,193,399228201
Bloodstream,Ed Sheeran,pop,2015,x ,309,246145879
Living For Love,Madonna,dance pop,2015,Rebel Heart ,219,31083546
Baby Don't Lie,Gwen Stefani,dance pop,2015,Baby Don't Lie,203,44112874
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,I Cry When I Laugh,211,189595798
Steal My Girl,One Direction,boy band,2015,FOUR,227,395047929
Celebrate ,Pitbull,dance pop,2015,Globalization,193,19803668
We Are Here,Alicia Keys,hip pop,2015,We Are Here,285,17865771
St Jude,Florence + The Machine,art pop,2015,"How Big, How Blue, How Beautiful ",225,30261299
Yesterday ,David Guetta,dance pop,2015,Listen,243,31917400
Time of Our Lives,Pitbull,dance pop,2015,Globalization,229,705208049
Sparks,Hilary Duff,dance pop,2015,Breathe In. Breathe Out.,186,58185697
Mr. Put It Down,Ricky Martin,dance pop,2015,Mr. Put It Down,196,15552832
Legendary Lovers,Katy Perry,dance pop,2015,PRISM ,224,42535074
Spark The Fire,Gwen Stefani,dance pop,2015,Spark The Fire,202,5006864
Run Run Run,Kelly Clarkson,dance pop,2015,Piece By Piece ,273,19591927
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,SEX AND LOVE ,238,8284040
Dangerous,Jennifer Hudson,dance pop,2015,JHUD,255,4342156
L.A.LOVE ,Fergie,dance pop,2015,Double Dutchess,193,40265193
The Hills,The Weeknd,canadian contemporary r&b,2016,Beauty Behind The Madness,242,1215174098
Love Yourself,Justin Bieber,canadian pop,2016,Purpose ,234,1552107153
Cake By The Ocean,DNCE,dance pop,2016,DNCE,219,1042110743
Don't Let Me Down,The Chainsmokers,electropop,2016,Don't Let Me Down,208,1410302481
In the Name of Love,Martin Garrix,big room,2016,In the Name of Love,196,1031841447
Into You,Ariana Grande,dance pop,2016,Dangerous Woman,244,877517552
This Is What You Came For,Calvin Harris,dance pop,2016,This Is What You Came For,222,1129049638
Million Reasons,Lady Gaga,dance pop,2016,Joanne ,205,523748721
Needed Me,Rihanna,barbadian pop,2016,ANTI ,192,892990739
7 Years,Lukas Graham,danish pop,2016,Lukas Graham,237,1227690918
CAN'T STOP THE FEELING!,Justin Timberlake,dance pop,2016,CAN'T STOP THE FEELING! ,236,1214084290
Work from Home ,Fifth Harmony,dance pop,2016,27-Jul,214,1109689765
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,Know-It-All ,230,866116583
Like I'm Gonna Lose You ,Meghan Trainor,dance pop,2016,Title ,225,683481539
Work,Rihanna,barbadian pop,2016,ANTI ,219,1031512190
Stitches,Shawn Mendes,canadian pop,2016,Handwritten,207,1203368340
"Me, Myself & I",G-Eazy,hip hop,2016,When It's Dark Out,251,951287317
I Took A Pill In Ibiza ,Mike Posner,dance pop,2016,"At Night, Alone.",198,1375886617
Dangerous Woman,Ariana Grande,dance pop,2016,Dangerous Woman,236,664565696
Starving,Hailee Steinfeld,dance pop,2016,Starving,182,947083750
Shout Out to My Ex,Little Mix,dance pop,2016,Glory Days ,246,511029907
Electric Love,BØRNS,electropop,2016,Dopamine,218,512705725
Confident,Demi Lovato,dance pop,2016,Confident,206,359421613
Too Good,Drake,canadian hip hop,2016,Views,263,830137157
Roses,The Chainsmokers,electropop,2016,Roses,227,801067423
Cold Water,Major Lazer,dance pop,2016,Cold Water ,185,1182394217
Me Too,Meghan Trainor,dance pop,2016,Thank You ,181,291925236
Light It Up ,Major Lazer,dance pop,2016,Peace Is the Mission ,166,980461564
Ain't Your Mama,Jennifer Lopez,dance pop,2016,Ain't Your Mama,218,340951864
Close,Nick Jonas,dance pop,2016,Last Year Was Complicated,234,436498474
Toothbrush,DNCE,dance pop,2016,DNCE,232,298259213
All We Know,The Chainsmokers,electropop,2016,All We Know,194,48687752
Final Song,MØ,dance pop,2016,Final Song,236,481240015
Company,Justin Bieber,canadian pop,2016,Purpose ,208,385899844
Hands To Myself,Selena Gomez,dance pop,2016,Revival ,201,408330103
All I Ask,Adele,british soul,2016,25,272,15366853
Just Like Fire,P!nk,dance pop,2016,Just Like Fire ,215,254843401
NO,Meghan Trainor,dance pop,2016,Thank You ,214,583959137
Kill Em With Kindness,Selena Gomez,dance pop,2016,Revival ,218,506552158
Cool Girl,Tove Lo,dance pop,2016,Lady Wood,199,66286262
Runnin' ,Naughty Boy,tropical house,2016,Runnin' ,213,402892781
Here,Alessia Cara,canadian contemporary r&b,2016,Know-It-All ,199,198716223
Perfect Illusion,Lady Gaga,dance pop,2016,Joanne,182,152877812
PILLOWTALK,ZAYN,dance pop,2016,Mind of Mine ,204,1051805882
Out Of The Woods,Taylor Swift,pop,2016,1989,236,169482682
Rise,Katy Perry,dance pop,2016,Rise,203,193587706
Wherever I Go,OneRepublic,dance pop,2016,Oh My My ,170,96348678
Body Say,Demi Lovato,dance pop,2016,Body Say,194,37758675
Don't Be A Fool,Shawn Mendes,canadian pop,2016,Illuminate ,216,2612265
LIKE I WOULD,ZAYN,dance pop,2016,Mind of Mine ,192,75130380
Cheap Thrills,Sia,australian dance,2016,This is Acting,225,99270258
I Got You,Bebe Rexha,dance pop,2016,Expectations,192,337779849
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,Emotion,251,42228633
Cruel ,Snakehips,dance pop,2016,Cruel ,228,37797787
Send My Love ,Adele,british soul,2016,25,223,718662035
WTF ,Missy Elliott,dance pop,2016,WTF ,193,68142329
Desire,Years & Years,dance pop,2016,Communion ,203,45458248
When We Were Young,Adele,british soul,2016,25,291,578130865
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,Handwritten,224,371348438
Wish That You Were Here,Florence + The Machine,art pop,2016,Wish That You Were Here ,403,19125022
Hurts,Emeli Sandé,dance pop,2016,Long Live the Angels ,238,35977409
Change,Christina Aguilera,dance pop,2016,Change,187,7059187
Make Me... ,Britney Spears,dance pop,2016,Glory ,231,69430371
Keeping Your Head Up,Birdy,neo mellow,2016,Beautiful Lies,208,26565131
True Colors,Zedd,complextro,2016,True Colors,225,17595856
Make Me Like You,Gwen Stefani,dance pop,2016,This is What the Truth Feels Like,217,23935978
Champagne Problems,Nick Jonas,dance pop,2016,Last Year was Complicated,193,15037689
Blown,DNCE,dance pop,2016,DNCE,197,285117
Start A Fire,John Legend,neo mellow,2016,La La Land ,310,1145912
Pep Rally,Missy Elliott,dance pop,2016,Pep Rally,263,134134
Higher,Carly Rae Jepsen,canadian pop,2016,EMOTION SIDE B,234,264117
Invitation,Britney Spears,dance pop,2016,Glory,200,181373
One Call Away ,Charlie Puth,dance pop,2016,One Call Away ,192,3514795
Beautiful Birds ,Passenger,folk-pop,2016,Young as the Morniing Old as the Sea,214,5074963
Little Lies,Hilary Duff,dance pop,2016,Little Lies,204,809153
Do You Wanna Come Over?,Britney Spears,dance pop,2016,Glory ,203,92858
BURNITUP!,Janet Jackson,dance pop,2016,Unbreakable,250,12097031
Picky - Remix,Joey Montana,latin,2016,Picky Back to the Roots,225,46293351
Behind Your Back,Nelly Furtado,canadian latin,2016,Behind Your Back,228,6699
Million Years Ago,Adele,british soul,2016,25,227,5320940
Shape of You,Ed Sheeran,pop,2017,Divide ,234,5282577214
Closer,The Chainsmokers,electropop,2017,Closer,245,2654540398
Starboy,The Weeknd,canadian contemporary r&b,2017,Starboy,230,1870220248
Treat You Better,Shawn Mendes,canadian pop,2017,Illuminate,188,2069063314
That's What I Like,Bruno Mars,pop,2017,24k Magic,207,1848919631
Let Me Love You,DJ Snake,electronic trap,2017,Encore,206,917189888
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,Starboy,269,834290386
Mercy,Shawn Mendes,canadian pop,2017,Illuminate,209,347069935
Side To Side,Ariana Grande,dance pop,2017,Dangerous Woman,226,1896252548
Stay,Zedd,complextro,2017,Stay,210,437478411
It Ain't Me,Kygo,edm,2017,It Ain't Me ,221,555772752
Malibu,Miley Cyrus,dance pop,2017,Younger Now,232,474551092
Something Just Like This,The Chainsmokers,electropop,2017,Memories...Do Not Open,248,1947762844
Rockabye ,Clean Bandit,dance pop,2017,Rockabye ,251,2511373495
I Don’t Wanna Live Forever ,ZAYN,dance pop,2017,reputation Stadium Tour ,245,628366029
My Way,Calvin Harris,dance pop,2017,My Way,219,399466454
I'm the One,DJ Khaled,dance pop,2017,Grateful,289,1526455836
Praying,Kesha,dance pop,2017,Rainbow,230,122602921
Despacito - Remix,Luis Fonsi,latin,2017,Despacito Feat. Justin Bieber ,229,663893673
The Greatest,Sia,australian dance,2017,This is Acting ,210,715850920
There for You,Martin Garrix,big room,2017,There for You,222,317780919
Paris,The Chainsmokers,electropop,2017,Memories...Do Not Open,222,380199680
Crying in the Club,Camila Cabello,dance pop,2017,Crying in the Club,216,206419545
Mama,Jonas Blue,dance pop,2017,Mama,184,695856261
Slide ,Calvin Harris,dance pop,2017,Slide ,231,141180176
Swish Swish,Katy Perry,dance pop,2017,Witness ,243,637371190
Chained To The Rhythm,Katy Perry,dance pop,2017,Witness ,238,672076352
Cold ,Maroon 5,pop,2017,Red Pill Blues ,234,209247334
Love,Lana Del Rey,art pop,2017,Lust for Life,273,188829207
Reggaetón Lento,CNCO,boy band,2017,CNCO,189,333008771
All I Ask,Adele,british soul,2017,25,272,15366853
First Time,Kygo,edm,2017,First Time,194,106215963
The Cure,Lady Gaga,dance pop,2017,The Cure,211,54740315
How Far I'll Go ,Alessia Cara,canadian contemporary r&b,2017,How Far I'll Go ,176,259844937
Bodak Yellow,Cardi B,pop,2017,Invasion of Privacy,224,980499972
Rich Love ,OneRepublic,dance pop,2017,Rich Love,201,64471388
Tired,Alan Walker,electro house,2017,Tired,192,145792820
Came Here for Love,Sigala,dance pop,2017,Came Here for Love,203,119445432
24K Magic,Bruno Mars,pop,2017,24k Magic,226,1383945226
Strip That Down ,Liam Payne,dance pop,2017,LP1,202,347135423
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,Cut To The Feeling,208,13646315
OK,Robin Schulz,dance pop,2017,OK,189,215688212
Bon appétit,Katy Perry,dance pop,2017,Witness ,228,1108311642
Summer Bummer ,Lana Del Rey,art pop,2017,Lust for Life,261,28040219
Get Low ,Zedd,complextro,2017,Get Low,205,66400196
Kissing Strangers,DNCE,dance pop,2017,Kissing Strangers,202,87748905
Slow Hands,Niall Horan,dance pop,2017,Flicker ,188,204053503
Younger Now,Miley Cyrus,dance pop,2017,Younger Now,249,62559792
Body Moves,DNCE,dance pop,2017,DNCE,236,39319272
Reality ,Lost Frequencies,belgian edm,2017,Less is More,158,237825598
Angel,Fifth Harmony,dance pop,2017,Fifth Harmony,189,46912430
Touch ,Little Mix,dance pop,2017,Glory Days ,203,109642
We Don't Talk Anymore ,Charlie Puth,dance pop,2017,Nine Track Mind,218,2628776802
Love Incredible ,Cashmere Cat,downtempo,2017,9,180,2726017
No Vacancy ,OneRepublic,dance pop,2017,No Vacancy,223,11766520
Rich Boy,Galantis,big room,2017,Rich Boy,184,9325664
Lust for Life ,Lana Del Rey,art pop,2017,Lust for Life,264,168059536
Greenlight ,Pitbull,dance pop,2017,Greenlight ,245,85295419
Influence,Tove Lo,dance pop,2017,Lady Wood,225,4491399
Remember I Told You,Nick Jonas,dance pop,2017,Remember I Told You,202,22201577
Messin' Around,Pitbull,dance pop,2017,Climate Change,223,43926197
Water Under the Bridge,Adele,british soul,2017,23,240,45195678
Free Me,Sia,australian dance,2017,Free Me,286,5030029
Kissing Strangers ,DNCE,dance pop,2017,DNCE,202,87749425
A L I E N S,Coldplay,permanent wave,2017,Kaleidoscope EP,282,11689899
One Kiss,Calvin Harris,dance pop,2018,Dua Lipa: Complete Edition,215,717733928
Havana ,Camila Cabello,dance pop,2018,Camila,217,1785154506
I Like It,Cardi B,pop,2018,Invasion of Privacy,253,1337738644
New Rules,Dua Lipa,dance pop,2018,Dua Lipa: Complete Edition,209,2408179536
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,Illuminate,199,979825903
no tears left to cry,Ariana Grande,dance pop,2018,The Dome Vol. 86,206,1004210484
IDGAF,Dua Lipa,dance pop,2018,Dua Lipa: Complete Edition,218,695485507
In My Blood,Shawn Mendes,canadian pop,2018,So Fresh: The Hits of Winter 2018,211,323217808
Wolves,Selena Gomez,dance pop,2018,Wolves,198,428259602
Dusk Till Dawn ,ZAYN,dance pop,2018,Dusk Till Dawn ,239,1610497949
Attention,Charlie Puth,dance pop,2018,Voicenotes,209,1240554989
Electricity,Silk City,edm,2018,Dua Lipa: Complete Edition,238,145018413
Love On The Brain,Rihanna,barbadian pop,2018,Anti,224,312707397
Let Me Go,Hailee Steinfeld,dance pop,2018,Midnight Hour,175,87292021
Silence,Marshmello,brostep,2018,Silence,181,440861091
Sorry Not Sorry,Demi Lovato,dance pop,2018,Tell Me You Love Me,204,478421333
Shallow ,Lady Gaga,dance pop,2018,A Star Is Born,217,1097626806
These Days,Rudimental,dance pop,2018,538 Hitzon 85,211,433661144
What Lovers Do ,Maroon 5,pop,2018,Red Pill Blues,200,573641604
Finesse ,Bruno Mars,pop,2018,24K Magic,217,723489149
Perfect Duet ,Ed Sheeran,pop,2018,Divide,260,222434699
Bad At Love,Halsey,dance pop,2018,Hopeless Fountain Kingdom,181,338736967
Him & I ,G-Eazy,hip hop,2018,The Beautiful & Damned,269,494110556
Friends ,Justin Bieber,canadian pop,2018,The Best,189,108288881
Wild Thoughts,DJ Khaled,dance pop,2018,Grateful,204,1012748601
My My My!,Troye Sivan,dance pop,2018,Bloom,205,57587637
Capital Letters,Hailee Steinfeld,dance pop,2018,Fifty Shades Freed,219,150100589
Sick Boy,The Chainsmokers,electropop,2018,Sick Boy ,193,294412230
Tequila,Dan + Shay,contemporary country,2018,Dan + Shay,196,12200587
Look What You Made Me Do,Taylor Swift,pop,2018,reputation,212,1241463400
Youth,Shawn Mendes,canadian pop,2018,The Album ,191,97437117
Bad Liar,Selena Gomez,dance pop,2018,Selena x Votes,215,326491024
Anywhere,Rita Ora,dance pop,2018,Phoenix,215,332095556
Say Something,Justin Timberlake,dance pop,2018,Man of the Woods,279,365034620
Chun-Li,Nicki Minaj,dance pop,2018,Queen,192,156845653
Sign of the Times,Harry Styles,dance pop,2018,Harry Styles,341,785464476
Familiar,Liam Payne,dance pop,2018,LP1,197,128093062
Let Me,ZAYN,dance pop,2018,Icarus Falls,185,172359006
Supernova,Ansel Elgort,dance pop,2018,Supernova,191,29549282
Nervous,Shawn Mendes,canadian pop,2018,Shawn Mendes,164,101651260
First Time,Kygo,edm,2018,Stargazing,194,106215295
End Game,Taylor Swift,pop,2018,reputation,245,245253354
Mi Gente ,J Balvin,latin,2018,Vibras,210,2903612332
Lemon,N.E.R.D,hip hop,2018,Lemon,220,127562231
For You ,Liam Payne,dance pop,2018,Fifty Shades Freed,243,321437591
Want To,Dua Lipa,dance pop,2018,Dua Lipa: Complete Edition,212,45967981
What I Need ,Hayley Kiyoko,dance pop,2018,Expectations,220,32103838
Wait,Maroon 5,pop,2018,Red Pill Blues,191,172164300
What About Us,P!nk,dance pop,2018,Beautiful Trauma,272,307200166
Kissing Strangers,DNCE,dance pop,2018,DNCE,202,87748494
2U ,David Guetta,dance pop,2018,2U,195,469824935
Walk On Water ,Eminem,detroit hip hop,2018,Revival,304,71774900
This Town,Niall Horan,dance pop,2018,Flicker,233,51927678
Girls ,Rita Ora,dance pop,2018,Phoenix,221,79732022
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,Move to Miami,169,67377199
Miss You ,Cashmere Cat,downtempo,2018,Miss You,186,55151283
Filthy,Justin Timberlake,dance pop,2018,Man of the Woods,294,76305548
Never Be the Same,Camila Cabello,dance pop,2018,Camila,227,233390867
Ferrari,Bebe Rexha,dance pop,2018,Expectations,213,18022160
Supplies,Justin Timberlake,dance pop,2018,Man of the Woods,226,33131283
Boom Boom,RedOne,moroccan pop,2018,Boom Boom,248,136321808
...Ready For It? ,Taylor Swift,pop,2018,reputation,190,292144102
Drip,Cardi B,pop,2018,Invasion of Privacy,264,81205225
Tell Me You Love Me,Demi Lovato,dance pop,2018,Pop Royalty,182,197760169
Memories,Maroon 5,pop,2019,Memories,189,714244629
Lose You To Love Me,Selena Gomez,dance pop,2019,Rare,206,346845578
Someone You Loved,Lewis Capaldi,pop,2019,Divinely Uninspired to a Hellish Extent,182,346784131
Señorita,Shawn Mendes,canadian pop,2019,Señorita,191,1232617910
How Do You Sleep?,Sam Smith,pop,2019,Love Goes,202,295182671
South of the Border ,Ed Sheeran,pop,2019,No. 6 Collaborations Project,204,188573955
Trampoline ,SHAED,electropop,2019,MELT,184,61306453
Happier,Marshmello,brostep,2019,Happier,214,801166217
Truth Hurts,Lizzo,escape room,2019,Cuz I Love You,173,254174958
Good as Hell ,Lizzo,escape room,2019,Barbershop: The Next Cut,159,113316626
Higher Love,Kygo,edm,2019,Higher Love,228,137263026
Only Human,Jonas Brothers,boy band,2019,Happiness Begins,183,34589678
Beautiful People ,Ed Sheeran,pop,2019,No. 6 Collaborations Project,198,293233348
Sucker,Jonas Brothers,boy band,2019,Happiness Begins,181,308372335
Don't Call Me Up,Mabel,dance pop,2019,Ivy to Roses,178,256174821
I Don't Care ,Ed Sheeran,pop,2019,No. 6 Collaborations Project,220,461509277
Talk ,Khalid,alternative r&b,2019,Free Spirit,198,284218332
Giant ,Calvin Harris,dance pop,2019,Giant,229,286649707
Takeaway,The Chainsmokers,electropop,2019,World War Joy...Push My Luck,210,112074601
All Around The World ,R3HAB,big room,2019,All Around The World ,148,47720338
Girls Like You ,Maroon 5,pop,2019,Red Pill Blues,236,3008531540
Call You Mine,The Chainsmokers,electropop,2019,Call You Mine,218,74792310
No Guidance ,Chris Brown,dance pop,2019,Indigo,261,228987781
Antisocial ,Ed Sheeran,pop,2019,No. 6 Collaborations Project,162,65122229
Taki Taki ,DJ Snake,electronic trap,2019,Carte Blanche,213,2088043721
Con Calma - Remix,Daddy Yankee,latin,2019,2K20 Pt.3 LIVE,181,2252535390
Find U Again ,Mark Ronson,dance pop,2019,Late Night Feelings,176,23445089
Cross Me,Ed Sheeran,pop,2019,No. 6 Collaborations Project,206,55852641
No Brainer,DJ Khaled,dance pop,2019,Father of Asahd,260,304020992
Nothing Breaks Like a Heart ,Mark Ronson,dance pop,2019,Late Night Feelings,217,220940855
Kills You Slowly,The Chainsmokers,electropop,2019,Kills You Slowly,213,14941303
